domain,left,right,left_total,right_total,left_share,right_share
anthropoliteia.net,5.0,0.0,334894,260132,1.4930097284513906e-5,0.0
anti-imperialist-u.blogspot.com,80.0,1.0,334894,260132,2.388815565522225e-4,3.84420217428075e-6
anythingtosay.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
aol.com,4.0,4.0,334894,260132,1.1944077827611124e-5,1.5376808697123e-5
aol.it,10.0,0.0,334894,260132,2.9860194569027812e-5,0.0
apa.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
apfn.org,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
apne.ws,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
apnews.com,9.0,35.0,334894,260132,2.687417511212503e-5,1.3454707609982625e-4
apnewsarchive.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
app-online.eu,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
app.originstamp.org,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
apple.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
apple.news,219.0,37.0,334894,260132,6.539382610617091e-4,1.4223548044838775e-4
appsto.re,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
aps.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
araac.org,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
arabnews.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
arcade.gamesalad.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
archive.fo,0.0,21.0,334894,260132,0.0,8.072824565989575e-5
archive.is,1.0,87.0,334894,260132,2.986019456902781e-6,0.00033444558916242523
archive.org,1.0,2.0,334894,260132,2.986019456902781e-6,7.6884043485615e-6
archivenights.bandcamp.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
archivist.neocities.org,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
archpaper.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
aresathena.wordpress.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
areyousorryyet.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
argentdinternet.tumblr.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
aritayoshifu.blogspot.jp,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
arizonadailyindependent.com,0.0,3.0,334894,260132,0.0,1.1532606522842249e-5
arizonafreedomalliance.ning.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
arkleg.state.ar.us,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
